Tarih,Þimdi,Açýlýþ,Yüksek,Düþük,Fark %,DovizTuru
05.07.2021,"10,29","10,3058","10,3292","10,2661","-0,17%",EUR-TRY
04.07.2021,"10,3071","10,3071","10,3278","10,2867","0,10%",EUR-TRY
02.07.2021,"10,297","10,2662","10,3301","10,2332","0,48%",EUR-TRY
01.07.2021,"10,248","10,3277","10,3441","10,2348","-0,68%",EUR-TRY
30.06.2021,"10,3182","10,3958","10,419","10,2581","-0,64%",EUR-TRY
29.06.2021,"10,3842","10,3547","10,4259","10,3079","0,29%",EUR-TRY
28.06.2021,"10,3538","10,4643","10,4734","10,3427","-0,83%",EUR-TRY
25.06.2021,"10,4405","10,3914","10,5084","10,3332","0,58%",EUR-TRY
24.06.2021,"10,3801","10,3079","10,4152","10,2873","0,84%",EUR-TRY
23.06.2021,"10,294","10,3318","10,3642","10,2383","-0,25%",EUR-TRY
22.06.2021,"10,3197","10,4509","10,4835","10,2912","-1,17%",EUR-TRY
21.06.2021,"10,4415","10,3748","10,4748","10,342","0,90%",EUR-TRY
18.06.2021,"10,3487","10,3836","10,404","10,2873","-0,20%",EUR-TRY
17.06.2021,"10,3692","10,3251","10,418","10,2575","0,50%",EUR-TRY
16.06.2021,"10,3174","10,3775","10,4194","10,2552","-0,44%",EUR-TRY
15.06.2021,"10,3631","10,2635","10,4265","10,2302","1,11%",EUR-TRY
14.06.2021,"10,2494","10,1564","10,2868","10,0358","1,01%",EUR-TRY
11.06.2021,"10,147","10,2556","10,302","10,0681","-0,99%",EUR-TRY
10.06.2021,"10,2486","10,4609","10,4698","10,2359","-1,90%",EUR-TRY
09.06.2021,"10,4471","10,4749","10,5077","10,4338","-0,17%",EUR-TRY
08.06.2021,"10,4645","10,4986","10,5294","10,4257","0,12%",EUR-TRY
07.06.2021,"10,4515","10,5473","10,5681","10,439","-0,75%",EUR-TRY
04.06.2021,"10,5304","10,5552","10,6057","10,4868","-0,06%",EUR-TRY
03.06.2021,"10,5364","10,4916","10,6038","10,4604","0,55%",EUR-TRY
02.06.2021,"10,4785","10,427","10,7324","10,4132","0,60%",EUR-TRY
01.06.2021,"10,4161","10,38","10,4621","10,3453","0,47%",EUR-TRY
31.05.2021,"10,3678","10,4334","10,4762","10,3126","-0,51%",EUR-TRY
28.05.2021,"10,4214","10,3646","10,4803","10,2926","0,75%",EUR-TRY
27.05.2021,"10,3438","10,3099","10,4221","10,2593","0,42%",EUR-TRY
26.05.2021,"10,3007","10,3692","10,3813","10,2904","-0,55%",EUR-TRY
25.05.2021,"10,3572","10,2455","10,3979","10,2252","1,22%",EUR-TRY
24.05.2021,"10,2319","10,2502","10,2835","10,1926","-0,06%",EUR-TRY
21.05.2021,"10,2384","10,2474","10,2815","10,1765","0,05%",EUR-TRY
20.05.2021,"10,2332","10,2403","10,2658","10,161","0,05%",EUR-TRY
19.05.2021,"10,2285","10,2126","10,308","10,1992","0,30%",EUR-TRY
18.05.2021,"10,1978","10,1033","10,2308","10,0864","1,01%",EUR-TRY
17.05.2021,"10,0959","10,2672","10,2903","10,0739","-1,48%",EUR-TRY
14.05.2021,"10,2477","10,2711","10,3074","10,1685","-0,14%",EUR-TRY
13.05.2021,"10,262","10,1772","10,292","10,1533","1,00%",EUR-TRY
12.05.2021,"10,1602","10,0686","10,2201","10,0256","0,99%",EUR-TRY
11.05.2021,"10,061","10,0421","10,1349","10,0236","0,35%",EUR-TRY
10.05.2021,"10,0264","10,017","10,0801","9,9944","0,12%",EUR-TRY
07.05.2021,"10,0145","9,9941","10,0733","9,934","0,40%",EUR-TRY
06.05.2021,"9,9744","9,9852","10,0636","9,956","-0,05%",EUR-TRY
05.05.2021,"9,9792","10,007","10,0653","9,9684","-0,16%",EUR-TRY
04.05.2021,"9,9952","9,9546","10,0364","9,9309","0,50%",EUR-TRY
03.05.2021,"9,9456","9,9635","10,03","9,9404","0,03%",EUR-TRY
30.04.2021,"9,9431","9,9646","10,0458","9,9058","-0,07%",EUR-TRY
29.04.2021,"9,9503","9,9433","10,0358","9,8418","0,16%",EUR-TRY
28.04.2021,"9,9342","9,9359","9,9726","9,835","0,24%",EUR-TRY
27.04.2021,"9,9102","10,0075","10,0388","9,8691","-0,84%",EUR-TRY
26.04.2021,"9,9944","10,156","10,2818","9,9874","-1,38%",EUR-TRY
23.04.2021,"10,1344","10,0024","10,1926","9,9587","1,56%",EUR-TRY
22.04.2021,"9,9783","9,8561","10,0836","9,8356","1,38%",EUR-TRY
21.04.2021,"9,8421","9,7696","9,8706","9,7393","0,91%",EUR-TRY
20.04.2021,"9,753","9,7444","9,8168","9,7237","0,23%",EUR-TRY
19.04.2021,"9,7302","9,6735","9,769","9,6053","0,79%",EUR-TRY
16.04.2021,"9,6543","9,5982","9,7193","9,5847","0,79%",EUR-TRY
15.04.2021,"9,5783","9,6785","9,7719","9,5725","-0,89%",EUR-TRY
14.04.2021,"9,6641","9,7013","9,7406","9,5968","-0,31%",EUR-TRY
13.04.2021,"9,6945","9,7164","9,7528","9,6456","-0,02%",EUR-TRY
12.04.2021,"9,6964","9,7186","9,785","9,6501","-0,22%",EUR-TRY
09.04.2021,"9,7182","9,6988","9,7587","9,6459","0,37%",EUR-TRY
08.04.2021,"9,6822","9,6894","9,7381","9,6496","0,32%",EUR-TRY
07.04.2021,"9,6515","9,6695","9,779","9,6478","0,01%",EUR-TRY
06.04.2021,"9,6503","9,5821","9,692","9,5435","0,89%",EUR-TRY
05.04.2021,"9,5647","9,6081","9,7153","9,517","-0,20%",EUR-TRY
02.04.2021,"9,5836","9,5654","9,6385","9,3896","0,44%",EUR-TRY
01.04.2021,"9,542","9,6764","9,7273","9,5169","-1,31%",EUR-TRY
31.03.2021,"9,6684","9,7667","9,8569","9,6482","-0,93%",EUR-TRY
30.03.2021,"9,7592","9,6565","9,9352","9,6358","1,30%",EUR-TRY
29.03.2021,"9,6343","9,6011","9,6839","9,4313","0,43%",EUR-TRY
26.03.2021,"9,5928","9,3533","9,6252","9,3227","2,68%",EUR-TRY
25.03.2021,"9,342","9,3731","9,461","9,3034","-0,12%",EUR-TRY
24.03.2021,"9,3536","9,4147","9,5325","9,2652","-0,56%",EUR-TRY
23.03.2021,"9,4064","9,3093","9,4882","9,13","1,11%",EUR-TRY
22.03.2021,"9,3033","8,5899","9,6928","8,5696","8,34%",EUR-TRY
19.03.2021,"8,5868","8,7289","8,7854","8,5639","-1,54%",EUR-TRY
